Date,Open,High,Low,Close,Adj Close,Volume
2017-11-10,0.000000,0.000000,0.000000,0.000000,0.000000,642
2017-11-11,0.000000,0.000000,0.000000,0.000000,0.000000,351
2017-11-12,0.000000,0.000000,0.000000,0.000000,0.000000,553
2017-11-13,0.000000,0.000000,0.000000,0.000000,0.000000,378
2017-11-14,0.000000,0.000000,0.000000,0.000000,0.000000,401
2017-11-15,0.000000,0.000000,0.000000,0.000000,0.000000,388
2017-11-16,0.000000,0.000000,0.000000,0.000000,0.000000,435
2017-11-17,0.000000,0.000000,0.000000,0.000000,0.000000,362
2017-11-18,0.000000,0.000000,0.000000,0.000000,0.000000,212
2017-11-19,0.000000,0.000000,0.000000,0.000000,0.000000,178
2017-11-20,0.000000,0.000000,0.000000,0.000000,0.000000,261
2017-11-21,0.000000,0.000000,0.000000,0.000000,0.000000,378
2017-11-22,0.000000,0.000000,0.000000,0.000000,0.000000,2283
2017-11-23,0.000000,0.000000,0.000000,0.000000,0.000000,3250
2017-11-24,0.000000,0.000000,0.000000,0.000000,0.000000,1161
2017-11-25,0.000000,0.000000,0.000000,0.000000,0.000000,618
2017-11-26,0.000000,0.000000,0.000000,0.000000,0.000000,822
2017-11-27,0.000000,0.000000,0.000000,0.000000,0.000000,630
2017-11-28,0.000000,0.000000,0.000000,0.000000,0.000000,827
2017-11-29,0.000000,0.000000,0.000000,0.000000,0.000000,1120
2017-11-30,0.000000,0.000000,0.000000,0.000000,0.000000,481
2017-12-01,0.000000,0.000000,0.000000,0.000000,0.000000,479
2017-12-02,0.000000,0.000000,0.000000,0.000000,0.000000,450
2017-12-03,0.000000,0.000000,0.000000,0.000000,0.000000,420
2017-12-04,0.000000,0.000000,0.000000,0.000000,0.000000,541
2017-12-05,0.000000,0.000000,0.000000,0.000000,0.000000,736
2017-12-06,0.000000,0.000000,0.000000,0.000000,0.000000,633
2017-12-07,0.000000,0.000000,0.000000,0.000000,0.000000,880
2017-12-08,0.000000,0.000000,0.000000,0.000000,0.000000,712
2017-12-09,0.000000,0.000000,0.000000,0.000000,0.000000,432
2017-12-10,0.000000,0.000000,0.000000,0.000000,0.000000,363
2017-12-11,0.000000,0.000000,0.000000,0.000000,0.000000,414
2017-12-12,0.000000,0.000000,0.000000,0.000000,0.000000,1104
2017-12-13,0.000000,0.000000,0.000000,0.000000,0.000000,1898
2017-12-14,0.000000,0.000000,0.000000,0.000000,0.000000,1414
2017-12-15,0.000000,0.000000,0.000000,0.000000,0.000000,1076
2017-12-16,0.000000,0.000000,0.000000,0.000000,0.000000,6993
2017-12-17,0.000000,0.000000,0.000000,0.000000,0.000000,5194
2017-12-18,0.000000,0.000000,0.000000,0.000000,0.000000,2310
2017-12-19,0.000000,0.000000,0.000000,0.000000,0.000000,2187
2017-12-20,0.000000,0.000000,0.000000,0.000000,0.000000,4079
2017-12-21,0.000000,0.000001,0.000000,0.000000,0.000000,10071
2017-12-22,0.000000,0.000000,0.000000,0.000000,0.000000,4605
2017-12-23,0.000000,0.000001,0.000000,0.000000,0.000000,4772
2017-12-24,0.000000,0.000001,0.000000,0.000001,0.000001,10324
2017-12-25,0.000001,0.000001,0.000001,0.000001,0.000001,12691
2017-12-26,0.000001,0.000001,0.000001,0.000001,0.000001,7728
2017-12-27,0.000001,0.000001,0.000001,0.000001,0.000001,4017
2017-12-28,0.000001,0.000001,0.000001,0.000001,0.000001,3505
2017-12-29,0.000001,0.000001,0.000001,0.000001,0.000001,4263
2017-12-30,0.000001,0.000001,0.000001,0.000001,0.000001,4337
2017-12-31,0.000001,0.000001,0.000001,0.000001,0.000001,4398
2018-01-01,0.000001,0.000001,0.000001,0.000001,0.000001,3706
2018-01-02,0.000001,0.000001,0.000001,0.000001,0.000001,5969
2018-01-03,0.000001,0.000001,0.000001,0.000001,0.000001,4365
2018-01-04,0.000001,0.000001,0.000001,0.000001,0.000001,6987
2018-01-05,0.000001,0.000001,0.000001,0.000001,0.000001,12185
2018-01-06,0.000001,0.000001,0.000001,0.000001,0.000001,16187
2018-01-07,0.000001,0.000001,0.000001,0.000001,0.000001,17489
2018-01-08,0.000001,0.000001,0.000001,0.000001,0.000001,15499
2018-01-09,0.000001,0.000001,0.000001,0.000001,0.000001,7897
2018-01-10,0.000001,0.000001,0.000001,0.000001,0.000001,6695
2018-01-11,0.000001,0.000001,0.000001,0.000001,0.000001,4679
2018-01-12,0.000001,0.000001,0.000001,0.000001,0.000001,4075
2018-01-13,0.000001,0.000001,0.000001,0.000001,0.000001,3892
2018-01-14,0.000001,0.000001,0.000001,0.000001,0.000001,4785
2018-01-15,0.000001,0.000001,0.000001,0.000001,0.000001,4542
2018-01-16,0.000001,0.000001,0.000001,0.000001,0.000001,5927
2018-01-17,0.000001,0.000001,0.000001,0.000001,0.000001,5259
2018-01-18,0.000001,0.000001,0.000001,0.000001,0.000001,4932
2018-01-19,0.000001,0.000001,0.000001,0.000001,0.000001,2613
2018-01-20,0.000001,0.000001,0.000001,0.000001,0.000001,1781
2018-01-21,0.000001,0.000001,0.000001,0.000001,0.000001,1977
2018-01-22,0.000001,0.000001,0.000001,0.000001,0.000001,1827
2018-01-23,0.000001,0.000001,0.000001,0.000001,0.000001,1645
2018-01-24,0.000001,0.000001,0.000001,0.000001,0.000001,1536
2018-01-25,0.000001,0.000001,0.000001,0.000001,0.000001,1894
2018-01-26,0.000001,0.000001,0.000001,0.000001,0.000001,1752
2018-01-27,0.000001,0.000001,0.000001,0.000001,0.000001,1020
2018-01-28,0.000001,0.000001,0.000001,0.000001,0.000001,1194
2018-01-29,0.000001,0.000001,0.000001,0.000001,0.000001,1157
2018-01-30,0.000001,0.000001,0.000001,0.000001,0.000001,1569
2018-01-31,0.000001,0.000001,0.000001,0.000001,0.000001,1444
2018-02-01,0.000001,0.000001,0.000001,0.000001,0.000001,2044
2018-02-02,0.000001,0.000001,0.000000,0.000001,0.000001,3387
2018-02-03,0.000001,0.000001,0.000001,0.000001,0.000001,1964
2018-02-04,0.000001,0.000001,0.000001,0.000001,0.000001,1566
2018-02-05,0.000001,0.000001,0.000000,0.000001,0.000001,1796
2018-02-06,0.000001,0.000001,0.000000,0.000001,0.000001,2468
2018-02-07,0.000001,0.000001,0.000001,0.000001,0.000001,1704
